-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
2016-02-09    23:59       37 kB  OFT004.txt        OPEN Obligacji      
2016-02-09    23:59       37 kB  OFT005.txt        OPEN Pieniezny      
2016-02-09    23:59       37 kB  OFT006.txt        OPEN Stabilnego Wzrostu
2016-02-09    23:59        8 kB  PKO097.txt        PKO Akcji Dywidendowych Globalny
2016-02-09    23:59        5 kB  PKO098.txt        PKO Akcji Rynku Europejskiego
2016-02-09    23:59        7 kB  PKO909.txt        PKO Akcji Rynku Zlota
2016-02-09    23:59        8 kB  PKO910.txt        PKO Papierow Dluznych USD
2016-02-09    23:59        8 kB  PKO913.txt        PKO Akcji Rynku Azji i Pacyfiku
2016-02-09    23:59        8 kB  PKO918.txt        PKO Akcji Rynku Amerykanskiego
2016-02-09    23:59        8 kB  PKO919.txt        PKO Akcji Rynku Japonskiego
2016-02-09    23:59        8 kB  PKO925.txt        PKO Akcji Rynkow Wschodzacych
2016-02-09    23:59      198 kB  SKA001.txt        SKARBIEC Obligacja  
2016-02-09    23:59      211 kB  SKA002.txt        SKARBIEC Depozytowy 
2016-02-09    23:59      203 kB  SKA003.txt        SKARBIEC Rynkow Wschodzacych
2016-02-09    23:59      177 kB  SKA004.txt        SKARBIEC III Filar  
2016-02-09    23:59      215 kB  SKA005.txt        SKARBIEC Kasa       
2016-02-09    23:59      214 kB  SKA006.txt        SKARBIEC Waga       
2016-02-09    23:59      211 kB  SKA007.txt        SKARBIEC Akcja      
2016-02-09    23:59      165 kB  SKA008.txt        SKARBIEC Rynkow Rozwinietych
2016-02-09    23:59      126 kB  SKA017.txt        SKARBIEC Top Funduszy Akcji SFIO
2016-02-09    23:59      127 kB  SKA018.txt        SKARBIEC Top Fund. Stab. SFIO
2016-02-09    23:59      104 kB  SKA024.txt        SKARBIEC Market Opportunities
2016-02-09    23:59       92 kB  SKA027.txt        SKARBIEC Spolek Wzrostowych
2016-02-09    23:59       91 kB  SKA028.txt        SKARBIEC Malych i Srednich Spolek
2016-02-09    23:59       93 kB  SKA031.txt        SKARBIEC Globalny Malych i Srednich Spolek
2016-02-09    23:59       90 kB  SKA033.txt        SKARBIEC Rynkow Surowcowych
2016-02-09    23:59       84 kB  SKA034.txt        SKARBIEC Top Brands 
2016-02-09    23:59       53 kB  SKA042.txt        SKARBIEC Lokacyjny  
2016-02-09    23:59       34 kB  SKA049.txt        SKARBIEC Market Neutral
2016-02-09    23:59       24 kB  SKA054.txt        SKARBIEC JPMorgan Emerging Markets Opportunities
2016-02-09    23:59       24 kB  SKA055.txt        SKARBIEC JPMorgan Global High Yield Bond
2016-02-09    23:59       24 kB  SKA056.txt        SKARBIEC JPMorgan Global Strategic Bond
2016-02-09    23:59       24 kB  SKA057.txt        SKARBIEC JPMorgan Highbridge US STEEP
2016-02-03    23:59       16 kB  AGI001.txt        AGIO Globalny       
2016-02-03    23:59       17 kB  AGI002.txt        AGIO Kapital        
2016-02-03    23:59       10 kB  AGI003.txt        AGIO Agresywny      
2016-02-03    23:59       54 kB  PZU011.txt        PZU Akcji Spolek Dywidendowych
2015-10-22    23:59       96 kB  ING019.txt        NN Srodkowoeuropejski Budownictwa i Nieruchomosci
-------------------------------------------------------------------------
                       22150 kB 262 plikow
